Designator,Mid X,Mid Y,Rotation,Layer
BT1,143.25,-97.0,270.0,top
BT2,140.25,-122.0,270.0,top
C1,170.25,-81.5,90.0,top
C2,174.847349,-96.75,0.0,top
D1,163.755,-57.75,0.0,bottom
D2,176.77,-58.0,0.0,bottom
Q1,168.385,-106.02,270.0,top
Q2,188.73,-108.365,0.0,top
R1,160.19,-91.75,0.0,top
R10,162.0,-109.69,270.0,top
R11,158.25,-102.69,270.0,top
R12,160.94,-120.75,0.0,top
R2,154.25,-82.69,270.0,top
R3,157.75,-76.31,90.0,top
R4,158.0,-67.5,0.0,top
R5,151.0,-71.25,0.0,top
R6,148.25,-76.25,0.0,top
R7,145.44,-81.25,0.0,top
R8,164.94,-116.75,0.0,top
R9,156.0,-113.19,270.0,top
