Designator,Mid X,Mid Y,Rotation,Layer
BT1,151.0,-101.0,90.0,top
BT2,126.5,-101.0,90.0,top
C1,138.5,-78.0,0.0,top
C2,138.597349,-89.5,0.0,top
D1,152.73,-67.0,0.0,bottom
D2,127.27,-67.0,0.0,bottom
Q1,168.5,-89.135,0.0,top
Q2,130.0,-80.635,0.0,top
R1,128.69,-116.0,0.0,top
R10,117.0,-75.5,180.0,top
R11,114.0,-70.5,0.0,top
R12,153.5,-72.0,0.0,top
R2,147.69,-81.5,0.0,top
R3,150.69,-77.0,0.0,top
R4,157.5,-78.5,90.0,top
R5,162.5,-75.5,90.0,top
R6,127.5,-75.0,0.0,top
R7,121.31,-80.5,180.0,top
R8,139.19,-113.5,0.0,top
R9,142.31,-118.5,180.0,top
